River,Fishno,Sex,Distance,Index
Nanticoke,150,F,1414.2897,588
Nanticoke,153,F,1022.2353,422
Nanticoke,146,M,1041.474,433
Nanticoke,147,M,784.113,327
Nanticoke,151,M,1294.026,536
NeusePitchkettle,290,F,1101.606,459
NeusePitchkettle,291,F,1368.5877,569
NeusePitchkettle,296,F,1291.62,538
NeusePitchkettle,298,F,1075.149,448
NeusePitchkettle,288,M,957.291,397
NeusePitchkettle,289,M,1185.798,494
NeusePitchkettle,292,M,1039.068,433
NeusePitchkettle,293,M,993.3687,414
NeusePitchkettle,297,M,1087.1727,453
NeuseUpper,382,F,1079.961,450
NeuseUpper,383,F,1031.8527,430
NeuseUpper,388,F,1094.3913,455
NeuseUpper,381,M,1111.227,463
NeuseUpper,384,M,1229.085,512
NeuseUpper,387,M,1046.2863,436
NeuseUpper,389,M,942.858,393
NeuseUpper,392,M,1019.826,425
NeuseUpper,400,M,1130.469,469
NeuseContentnea,883,F,1180.9773,492
NeuseContentnea,884,F,933.24,389
NeuseSwift,838,M,1185.792,491
NeuseSwift,839,M,1231.4913,513
Nottoway,529,F,1118.442,466
Nottoway,559,M,1193.007,497
Nottoway,566,M,1055.907,440
Ogeechee,950,F,1099.2,456
Ogeechee,964,M,1164.141,483
Patapsco,737,M,1058.3133,441
Patuxent,1065,F,1024.638,427
Patuxent,1066,F,1096.7967,457
Patuxent,1072,F,971.721,405
Patuxent,1074,F,1142.496,476
Patuxent,1075,F,1116.0387,465
Patuxent,1076,F,1116.0354,465
Patuxent,1063,M,1010.208,421
Patuxent,1069,M,1077.552,447
Patuxent,1071,M,966.912,403
Patuxent,1073,M,1209.843,504
Potomac,1024,F,1262.757,526
Potomac,1025,F,1308.459,545
Potomac,1054,F,1190.598,496
Rappahannock,214,M,1173.762,489
Rappahannock,218,M,1111.2273,463
Roanoke,328,F,1132.875,472
Roanoke,323,M,952.479,397
Roanoke,331,M,1019.826,425
Roanoke,371,M,1034.2587,431
Santee,426,F,1269.9753,529
Santee,427,F,1217.0577,507
Santee,422,M,930.831,388
Santee,423,M,497.886,208
Santee,424,M,1060.716,442
Santee,425,M,1017.423,423
